1	0	0
0.996277	0.001079	0
0.985681	0.004644	0
0.969429	0.010691	0
0.948574	0.018525	0
0.923625	0.027157	0
0.894505	0.035738	0
0.86085	0.044178	0
0.823023	0.052748	0
0.781586	0.061424	0
0.73713	0.070108	0
0.690273	0.078659	0
0.641651	0.086901	0
0.59191	0.094633	0
0.541692	0.101631	0
0.491625	0.107648	0
0.442317	0.112418	0
0.394345	0.115645	0
0.348257	0.116962	0
0.304384	0.115627	0
0.261983	0.111612	0
0.221337	0.105629	0
0.182903	0.097997	0
0.147112	0.088966	0
0.114367	0.078763	0
0.085039	0.067619	0
0.059481	0.055766	0
0.038007	0.043458	0
0.020952	0.030954	0
0.008577	0.018556	0
0.001431	0.006672	0
0.001119	0.005797	0
0.000338	0.002959	0
0.000002	0.000223	0
0.000000	0.000000	0
0.000245	-0.002549	0
0.000678	-0.004584	0
0.000925	-0.005491	0
0.006381	-0.01743	0
0.016792	-0.031576	0
0.031367	-0.046492	0
0.049641	-0.061655	0
0.07124	-0.076713	0
0.09561	-0.091093	0
0.122438	-0.104309	0
0.151203	-0.115726	0
0.181669	-0.124578	0
0.213672	-0.130235	0
0.247139	-0.13131	0
0.283942	-0.127757	0
0.323782	-0.120293	0
0.367326	-0.109093	0
0.414593	-0.095249	0
0.465255	-0.07966	0
0.518814	-0.063236	0
0.574574	-0.046894	0
0.631638	-0.03152	0
0.688908	-0.017904	0
0.745125	-0.006688	0
0.798908	0.001698	0
0.84883	0.00707	0
0.893492	0.009517	0
0.931609	0.009395	0
0.962086	0.007279	0
0.983819	0.003889	0
0.996132	0.001014	0
1	-0	0
